product_id,product_name,lead_time_days,avg_daily_demand,stddev_daily_demand,safety_stock_95pct,recommended_reorder_point,current_reorder_point
P1000,Wireless Mouse,13,7.214285714285714,3.1680593056116373,18.8,112.6,29
P1001,USB-C Cable,13,3.2884615384615383,1.8080867766523445,10.8,53.6,33
P1002,Bluetooth Speaker,5,1.7955182072829132,1.523295537744935,5.6,14.6,54
P1003,Phone Charger,8,6.925824175824176,2.7718564219845723,12.9,68.3,44
P1004,HDMI Cable,14,4.873626373626373,2.7050543515041934,16.7,84.9,47
P1005,Laptop Stand,19,3.697802197802198,2.3002923767681676,16.5,86.8,39
P1006,Webcam,18,2.2527472527472527,2.136361865084535,15.0,55.5,42
P1007,Power Bank,5,2.674931129476584,1.9536351393427298,7.2,20.6,58
P1008,Coffee Mug,9,8.662087912087912,3.509701946009936,17.4,95.4,23
P1009,Non-Stick Pan,20,1.6373626373626373,1.3768369829062042,10.2,42.9,28
P1010,Cutting Board,17,4.423076923076923,2.444336882053006,16.6,91.8,16
P1011,Blender,19,11.486263736263735,4.578946706833972,32.9,251.1,28
P1012,Toaster,12,3.7252747252747254,2.037207260673468,11.6,56.3,20
P1013,Storage Containers,14,7.733516483516484,3.3538560098361065,20.7,129.0,40
P1014,Dish Rack,18,6.332417582417582,2.7627876849455335,19.3,133.3,28
P1015,Kettle,18,9.986263736263735,3.527511440954407,24.7,204.5,54
P1016,Cotton T-Shirt,15,4.0576923076923075,2.440356554774532,15.6,76.5,38
P1017,Running Shoes,9,2.8071625344352618,2.0086149934075532,9.9,35.2,15
P1018,Denim Jacket,13,2.5934065934065935,1.8043597155186966,10.7,44.4,22
P1019,Wool Socks,3,2.8049450549450547,2.263101493885851,6.5,14.9,49
P1020,Baseball Cap,9,9.005494505494505,4.1013298290141105,20.3,101.3,55
P1021,Rain Jacket,18,0.5989010989010989,0.7775067172866008,5.4,16.2,47
P1022,Yoga Pants,14,3.4060773480662982,2.949861084026388,18.2,65.9,49
P1023,Winter Gloves,7,4.074175824175824,2.4000672928738918,10.5,39.0,49
P1024,Notebook,16,5.458791208791209,2.5843254301147773,17.1,104.4,19
P1025,Ballpoint Pens (Pack),15,1.7134986225895317,1.797945310371396,11.5,37.2,56
P1026,Desk Organizer,6,0.8861111111111111,0.9297475554513939,3.8,9.1,46
P1027,Stapler,13,8.239010989010989,3.908811140078851,23.3,130.4,29
P1028,Sticky Notes,4,3.5,1.8385225832869714,6.1,20.1,36
P1029,Whiteboard Marker,14,7.315934065934066,3.6138193521107707,22.3,124.7,20
P1030,File Folder,9,6.527472527472527,3.2408911448035895,16.0,74.7,42
P1031,Desk Lamp,15,3.8241758241758244,2.361740062595939,15.1,72.5,41
P1032,Yoga Mat,11,12.884615384615385,4.613775590123137,25.2,166.9,22
P1033,Water Bottle,14,1.170391061452514,1.1626856591016606,7.2,23.6,56
P1034,Resistance Bands,9,3.651098901098901,1.9990972896942012,9.9,42.8,26
P1035,Camping Tent,19,1.163888888888889,1.073004471035546,7.7,29.8,31
P1036,Hiking Backpack,7,3.5247252747252746,1.9489189434876577,8.5,33.2,37
P1037,Dumbbell Set,14,1.64010989010989,1.4003683061429142,8.6,31.6,16
P1038,Bicycle Helmet,19,3.291208791208791,1.9855759953779468,14.3,76.8,25
P1039,Tennis Racket,8,3.793956043956044,2.079379743883898,9.7,40.1,48
